City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
79,Hobart,-42.8794,147.3294,55.06,65,75,10.36,AU,broken clouds
80,The Valley,18.217,-63.0578,82.26,77,17,20.31,AI,few clouds
81,Rocky Mountain House,52.3668,-114.9188,68.11,40,100,4.61,CA,overcast clouds
82,Bredasdorp,-34.5322,20.0403,47.79,85,51,4.14,ZA,broken clouds
83,Sept-Iles,50.2001,-66.3821,48.72,93,100,4.61,CA,light rain
84,Kruisfontein,-34.0033,24.7314,51.89,89,0,2.91,ZA,clear sky
85,Bend,44.0582,-121.3153,84.06,24,0,9.22,US,clear sky
86,Qaanaaq,77.484,-69.3632,16.57,77,100,6.11,GL,overcast clouds
87,Khatanga,71.9667,102.5,28.22,98,100,4.59,RU,light snow
88,Komatsu,36.4026,136.4509,62.58,77,75,18.41,JP,broken clouds
89,Port Alfred,-33.5906,26.891,60.19,88,0,1.99,ZA,clear sky
90,Laguna,38.421,-121.4238,89.58,37,0,8.05,US,clear sky
91,Abadzekhskaya,44.3939,40.2214,53.98,97,96,2.75,RU,overcast clouds
92,Saint-Augustin,51.226,-58.6502,52.83,73,99,11.07,CA,overcast clouds
93,Kijang,35.2442,129.2139,65.93,78,100,13.51,KR,overcast clouds
94,Albany,42.6001,-73.9662,52.39,77,100,3.71,US,overcast clouds
95,Tuy Hoa,13.0833,109.3,79.3,87,100,4.21,VN,overcast clouds
96,Keningau,5.3378,116.1602,78.15,86,100,2.37,MY,overcast clouds
97,Lianzhou,24.7811,112.3825,74.52,65,85,5.79,CN,overcast clouds
98,Barrow,71.2906,-156.7887,33.82,80,100,10.36,US,overcast clouds
99,Tiksi,71.6872,128.8694,21.81,85,100,16.11,RU,overcast clouds
100,Panzhihua,26.5851,101.7128,72.99,80,35,1.83,CN,scattered clouds
101,Baracoa,20.3467,-74.4958,79.59,85,74,3.15,CU,broken clouds
102,Longview,32.5007,-94.7405,75.15,46,0,4.61,US,clear sky
103,Krasnaya Polyana,56.242,51.1442,45.23,83,100,10.83,RU,light rain
104,Kenai,60.5544,-151.2583,49.03,89,100,13.8,US,light rain
105,Hithadhoo,-0.6,73.0833,82.42,68,100,17.16,MV,overcast clouds
106,Jinka,5.65,36.65,63.81,82,100,4.72,ET,light rain
107,Cedar City,37.6775,-113.0619,70.77,24,0,9.22,US,clear sky
